q7_item,n,avg_score,top2_n,bottom2_n,top2_per100,bottom2_per100
Q7AIRTRAIN,1450,4.106896551724138,1131,51,78.0,3.517241379310345
Q7ALL,2688,4.064360119047619,2206,38,82.06845238095238,1.4136904761904763
Q7ART,2284,3.9925569176882663,1636,95,71.62872154115587,4.159369527145359
Q7FOOD,2421,3.6154481619165635,1349,255,55.720776538620406,10.532837670384138
Q7INFODOWN,1710,3.891812865497076,1154,113,67.48538011695906,6.608187134502924
Q7INFOUP,1740,3.8994252873563218,1184,114,68.04597701149426,6.551724137931035
Q7LTPARKING,834,3.8501199040767387,552,65,66.18705035971223,7.793764988009593
Q7PARK,1271,3.872541306058222,846,77,66.56176239181747,6.058221872541306
Q7RENTAL,1006,3.8429423459244534,680,80,67.59443339960238,7.952286282306163
Q7ROADS,1908,4.0083857442348005,1427,93,74.79035639412997,4.8742138364779874
Q7SCREENS,2659,4.1150808574652125,2087,71,78.48815344114328,2.6701767581797666
Q7SIGN,2703,4.088050314465409,2128,97,78.7273399926008,3.588605253422124
Q7STORE,2374,3.641112047177759,1329,183,55.981465880370685,7.708508845829823
Q7WALKWAYS,2629,4.146823887409662,2103,66,79.9923925446938,2.510460251046025
Q7WIFI,2142,4.079831932773109,1597,155,74.55648926237161,7.2362278244631195
