RESPNUM_FK,question_code,rating_value
2,Q7ART,3.0
3,Q7ART,5.0
4,Q7ART,5.0
6,Q7ART,3.0
7,Q7ART,4.0
9,Q7ART,5.0
12,Q7ART,3.0
13,Q7ART,4.0
14,Q7ART,5.0
15,Q7ART,5.0
17,Q7ART,3.0
18,Q7ART,5.0
20,Q7ART,5.0
21,Q7ART,3.0
22,Q7ART,4.0
23,Q7ART,3.0
24,Q7ART,2.0
25,Q7ART,3.0
26,Q7ART,4.0
27,Q7ART,4.0
28,Q7ART,4.0
29,Q7ART,4.0
30,Q7ART,4.0
31,Q7ART,5.0
32,Q7ART,2.0
33,Q7ART,5.0
34,Q7ART,5.0
35,Q7ART,2.0
38,Q7ART,3.0
41,Q7ART,3.0
42,Q7ART,4.0
44,Q7ART,2.0
45,Q7ART,5.0
46,Q7ART,5.0
47,Q7ART,4.0
49,Q7ART,3.0
50,Q7ART,4.0
51,Q7ART,4.0
52,Q7ART,4.0
53,Q7ART,3.0
54,Q7ART,4.0
55,Q7ART,3.0
56,Q7ART,3.0
57,Q7ART,4.0
58,Q7ART,4.0
59,Q7ART,3.0
60,Q7ART,3.0
62,Q7ART,5.0
64,Q7ART,5.0
65,Q7ART,5.0
66,Q7ART,4.0
67,Q7ART,4.0
68,Q7ART,5.0
408,Q7ART,5.0
69,Q7ART,4.0
70,Q7ART,5.0
71,Q7ART,4.0
72,Q7ART,3.0
73,Q7ART,4.0
74,Q7ART,3.0
75,Q7ART,2.0
76,Q7ART,2.0
77,Q7ART,2.0
78,Q7ART,3.0
79,Q7ART,5.0
80,Q7ART,4.0
81,Q7ART,4.0
84,Q7ART,3.0
611,Q7ART,5.0
85,Q7ART,5.0
86,Q7ART,5.0
87,Q7ART,5.0
88,Q7ART,5.0
89,Q7ART,5.0
90,Q7ART,3.0
91,Q7ART,5.0
93,Q7ART,4.0
95,Q7ART,5.0
96,Q7ART,5.0
97,Q7ART,5.0
98,Q7ART,4.0
99,Q7ART,3.0
100,Q7ART,5.0
101,Q7ART,3.0
102,Q7ART,5.0
103,Q7ART,5.0
105,Q7ART,4.0
106,Q7ART,4.0
107,Q7ART,4.0
108,Q7ART,4.0
109,Q7ART,3.0
110,Q7ART,3.0
111,Q7ART,4.0
112,Q7ART,4.0
113,Q7ART,4.0
114,Q7ART,5.0
116,Q7ART,4.0
117,Q7ART,4.0
118,Q7ART,3.0
119,Q7ART,5.0
121,Q7ART,3.0
122,Q7ART,5.0
123,Q7ART,5.0
124,Q7ART,3.0
125,Q7ART,4.0
127,Q7ART,4.0
129,Q7ART,5.0
130,Q7ART,3.0
131,Q7ART,5.0
132,Q7ART,4.0
133,Q7ART,2.0
134,Q7ART,4.0
135,Q7ART,1.0
136,Q7ART,5.0
137,Q7ART,4.0
139,Q7ART,4.0
140,Q7ART,4.0
141,Q7ART,4.0
142,Q7ART,3.0
143,Q7ART,4.0
144,Q7ART,5.0
145,Q7ART,3.0
146,Q7ART,4.0
147,Q7ART,5.0
150,Q7ART,3.0
151,Q7ART,5.0
152,Q7ART,4.0
153,Q7ART,4.0
154,Q7ART,5.0
157,Q7ART,5.0
158,Q7ART,4.0
159,Q7ART,5.0
160,Q7ART,5.0
161,Q7ART,5.0
162,Q7ART,5.0
163,Q7ART,4.0
165,Q7ART,5.0
166,Q7ART,5.0
167,Q7ART,4.0
169,Q7ART,5.0
170,Q7ART,3.0
171,Q7ART,5.0
174,Q7ART,5.0
175,Q7ART,5.0
177,Q7ART,2.0
178,Q7ART,3.0
179,Q7ART,3.0
180,Q7ART,5.0
181,Q7ART,3.0
182,Q7ART,4.0
183,Q7ART,4.0
184,Q7ART,4.0
186,Q7ART,4.0
187,Q7ART,3.0
188,Q7ART,3.0
190,Q7ART,5.0
192,Q7ART,5.0
193,Q7ART,4.0
195,Q7ART,4.0
196,Q7ART,3.0
197,Q7ART,5.0
199,Q7ART,4.0
200,Q7ART,3.0
201,Q7ART,5.0
202,Q7ART,5.0
203,Q7ART,3.0
205,Q7ART,1.0
206,Q7ART,5.0
207,Q7ART,4.0
208,Q7ART,5.0
209,Q7ART,4.0
210,Q7ART,3.0
212,Q7ART,5.0
214,Q7ART,4.0
215,Q7ART,4.0
216,Q7ART,4.0
217,Q7ART,4.0
218,Q7ART,5.0
220,Q7ART,4.0
612,Q7ART,5.0
221,Q7ART,3.0
223,Q7ART,4.0
224,Q7ART,4.0
226,Q7ART,4.0
227,Q7ART,5.0
228,Q7ART,5.0
229,Q7ART,4.0
230,Q7ART,5.0
231,Q7ART,3.0
232,Q7ART,4.0
233,Q7ART,4.0
235,Q7ART,5.0
236,Q7ART,1.0
237,Q7ART,3.0
696,Q7ART,5.0
240,Q7ART,3.0
241,Q7ART,5.0
242,Q7ART,5.0
243,Q7ART,3.0
245,Q7ART,4.0
246,Q7ART,4.0
247,Q7ART,3.0
248,Q7ART,4.0
249,Q7ART,3.0
252,Q7ART,5.0
253,Q7ART,5.0
254,Q7ART,3.0
255,Q7ART,5.0
258,Q7ART,5.0
260,Q7ART,3.0
262,Q7ART,4.0
263,Q7ART,4.0
264,Q7ART,5.0
266,Q7ART,5.0
267,Q7ART,3.0
268,Q7ART,3.0
269,Q7ART,5.0
270,Q7ART,4.0
272,Q7ART,4.0
273,Q7ART,3.0
274,Q7ART,4.0
275,Q7ART,3.0
276,Q7ART,5.0
278,Q7ART,5.0
279,Q7ART,4.0
280,Q7ART,4.0
283,Q7ART,5.0
284,Q7ART,5.0
285,Q7ART,5.0
286,Q7ART,2.0
287,Q7ART,5.0
288,Q7ART,4.0
289,Q7ART,3.0
291,Q7ART,3.0
292,Q7ART,5.0
293,Q7ART,4.0
294,Q7ART,4.0
296,Q7ART,4.0
297,Q7ART,5.0
298,Q7ART,4.0
300,Q7ART,5.0
302,Q7ART,4.0
303,Q7ART,4.0
304,Q7ART,5.0
305,Q7ART,5.0
308,Q7ART,5.0
309,Q7ART,3.0
310,Q7ART,3.0
312,Q7ART,4.0
314,Q7ART,3.0
315,Q7ART,5.0
316,Q7ART,4.0
317,Q7ART,4.0
318,Q7ART,5.0
319,Q7ART,3.0
320,Q7ART,3.0
322,Q7ART,5.0
323,Q7ART,4.0
324,Q7ART,4.0
326,Q7ART,5.0
327,Q7ART,2.0
330,Q7ART,3.0
331,Q7ART,4.0
332,Q7ART,3.0
333,Q7ART,1.0
335,Q7ART,3.0
336,Q7ART,3.0
337,Q7ART,3.0
338,Q7ART,4.0
339,Q7ART,3.0
341,Q7ART,4.0
344,Q7ART,3.0
345,Q7ART,5.0
350,Q7ART,4.0
351,Q7ART,4.0
352,Q7ART,3.0
354,Q7ART,4.0
355,Q7ART,4.0
356,Q7ART,3.0
357,Q7ART,3.0
358,Q7ART,4.0
359,Q7ART,5.0
360,Q7ART,4.0
361,Q7ART,4.0
362,Q7ART,5.0
363,Q7ART,4.0
364,Q7ART,3.0
366,Q7ART,4.0
367,Q7ART,5.0
368,Q7ART,5.0
369,Q7ART,5.0
370,Q7ART,5.0
372,Q7ART,5.0
374,Q7ART,4.0
377,Q7ART,4.0
378,Q7ART,4.0
379,Q7ART,3.0
380,Q7ART,4.0
381,Q7ART,3.0
383,Q7ART,4.0
384,Q7ART,4.0
387,Q7ART,3.0
388,Q7ART,5.0
390,Q7ART,4.0
391,Q7ART,5.0
394,Q7ART,5.0
395,Q7ART,5.0
398,Q7ART,3.0
399,Q7ART,5.0
400,Q7ART,4.0
401,Q7ART,4.0
402,Q7ART,4.0
403,Q7ART,4.0
404,Q7ART,5.0
405,Q7ART,3.0
406,Q7ART,3.0
407,Q7ART,5.0
409,Q7ART,4.0
410,Q7ART,5.0
412,Q7ART,5.0
414,Q7ART,5.0
415,Q7ART,4.0
417,Q7ART,3.0
418,Q7ART,4.0
419,Q7ART,3.0
420,Q7ART,3.0
421,Q7ART,4.0
423,Q7ART,4.0
425,Q7ART,5.0
428,Q7ART,4.0
429,Q7ART,3.0
430,Q7ART,3.0
431,Q7ART,4.0
432,Q7ART,3.0
433,Q7ART,5.0
434,Q7ART,3.0
435,Q7ART,4.0
437,Q7ART,5.0
438,Q7ART,4.0
439,Q7ART,4.0
440,Q7ART,3.0
442,Q7ART,4.0
443,Q7ART,5.0
445,Q7ART,5.0
446,Q7ART,4.0
447,Q7ART,4.0
448,Q7ART,5.0
449,Q7ART,4.0
450,Q7ART,5.0
451,Q7ART,4.0
452,Q7ART,4.0
453,Q7ART,4.0
454,Q7ART,3.0
455,Q7ART,4.0
457,Q7ART,4.0
458,Q7ART,3.0
460,Q7ART,3.0
461,Q7ART,5.0
462,Q7ART,4.0
463,Q7ART,4.0
464,Q7ART,3.0
465,Q7ART,5.0
466,Q7ART,4.0
467,Q7ART,4.0
468,Q7ART,3.0
469,Q7ART,4.0
470,Q7ART,4.0
471,Q7ART,4.0
472,Q7ART,5.0
473,Q7ART,3.0
474,Q7ART,4.0
475,Q7ART,4.0
476,Q7ART,4.0
477,Q7ART,2.0
478,Q7ART,3.0
479,Q7ART,4.0
480,Q7ART,2.0
