RESPNUM,INTDATE,DAY,GATE,BAREA,AIRLINE,AIRLINE_CODE,DESTINATION,DEST_CODE,NETPRO,WEIGHT,HOWLONG,STRATA,STRATA_LBL,PEAK,PEAK_LBL,METHOD,METHOD_LBL,SAQ,SAQ_LBL,Q2PURP1,Q2PURP1_LBL,Q19AGE,Q19AGE_LBL,Q20GENDER,Q20GENDER_LBL,Q21INCOME,Q22FLY,Q22FLY_LBL,Q16LIVE,Q16LIVE_LBL,LANG,LANG_LBL,RESPNUM_PK,inferred_date,date_sk
1,13,Sat,92,G,AIR CANADA,3,MONTREAL,40,6.0,0.2847177143,210.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,5,45-54,2,Female,3,1,Yes,3,In another region,1,English,1,2017-05-13,133
2,13,Sat,75,F,UNITED INTL,29,MEXICO CITY,37,7.0,0.9440823789,235.0,2,MID (Flights departing 11 am to 5 pm),3,International flights,1,At gate,1,Interviewer Administered,4,School/school event,3,25-34,1,Male,1,2,No,1,9-County Bay Area,1,English,2,2017-05-13,133
3,13,Sat,92,G,AIR CANADA,3,MONTREAL,40,5.0,0.2847177143,60.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,6,55-64,2,Female,3,2,No,3,In another region,1,English,3,2017-05-13,133
4,13,Sat,75,F,UNITED INTL,29,MEXICO CITY,37,7.0,0.9440823789,175.0,2,MID (Flights departing 11 am to 5 pm),3,International flights,1,At gate,1,Interviewer Administered,2,Pleasure/Vacation/Recreation,5,45-54,2,Female,2,2,No,1,9-County Bay Area,1,English,4,2017-05-13,133
5,13,Sat,92,G,AIR CANADA,3,MONTREAL,40,9.0,0.2847177143,150.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,4,35-44,2,Female,4,1,Yes,3,In another region,1,English,5,2017-05-13,133
6,13,Sat,92,G,AIR CANADA,3,MONTREAL,40,10.0,0.2847177143,120.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,1,Business/Work/Job Interview,5,45-54,1,Male,0,2,No,3,In another region,1,English,6,2017-05-13,133
7,13,Sat,75,F,UNITED INTL,29,MEXICO CITY,37,8.0,0.9440823789,205.0,2,MID (Flights departing 11 am to 5 pm),3,International flights,1,At gate,1,Interviewer Administered,2,Pleasure/Vacation/Recreation,4,35-44,1,Male,4,2,No,1,9-County Bay Area,1,English,7,2017-05-13,133
8,13,Sat,92,G,AIR CANADA,3,MONTREAL,40,9.0,0.2847177143,180.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,6,55-64,2,Female,2,3,Don't know,3,In another region,1,English,8,2017-05-13,133
9,13,Sat,75,F,UNITED INTL,29,MEXICO CITY,37,9.0,0.9440823789,205.0,2,MID (Flights departing 11 am to 5 pm),3,International flights,1,At gate,1,Interviewer Administered,4,School/school event,2,18-24,1,Male,1,2,No,3,In another region,2,Spanish,9,2017-05-13,133
10,13,Sat,92,G,AIR CANADA,3,MONTREAL,40,10.0,0.2847177143,180.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,4,35-44,2,Female,0,1,Yes,3,In another region,1,English,10,2017-05-13,133
11,13,Sat,92,G,AIR CANADA,3,MONTREAL,40,9.0,0.2847177143,180.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,7,65 and over,1,Male,2,2,No,3,In another region,1,English,11,2017-05-13,133
12,13,Sat,75,F,UNITED INTL,29,MEXICO CITY,37,8.0,0.9440823789,355.0,2,MID (Flights departing 11 am to 5 pm),3,International flights,1,At gate,2,Self Administered,3,Visit friends or relatives,4,35-44,1,Male,4,1,Yes,3,In another region,2,Spanish,12,2017-05-13,133
13,13,Sat,92,G,AIR CANADA,3,MONTREAL,40,8.0,0.2847177143,90.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,6,55-64,1,Male,4,1,Yes,3,In another region,1,English,13,2017-05-13,133
14,13,Sat,75,F,UNITED INTL,29,MEXICO CITY,37,9.0,0.9440823789,205.0,2,MID (Flights departing 11 am to 5 pm),3,International flights,1,At gate,2,Self Administered,4,School/school event,6,55-64,4,Blank/Multiple responses,1,4,,3,In another region,2,Spanish,14,2017-05-13,133
15,13,Sat,92,G,AIR CANADA,3,MONTREAL,40,10.0,0.2847177143,175.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,6,55-64,2,Female,2,2,No,2,Northern California outside the Bay Area,1,English,15,2017-05-13,133
16,13,Sat,75,F,UNITED INTL,29,MEXICO CITY,37,10.0,0.9440823789,250.0,2,MID (Flights departing 11 am to 5 pm),3,International flights,1,At gate,2,Self Administered,1,Business/Work/Job Interview,6,55-64,1,Male,3,1,Yes,3,In another region,2,Spanish,16,2017-05-13,133
17,13,Sat,92,G,AIR CANADA,3,MONTREAL,40,8.0,0.2847177143,95.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,1,Business/Work/Job Interview,4,35-44,1,Male,2,2,No,3,In another region,1,English,17,2017-05-13,133
18,13,Sat,92,G,AIR CANADA,3,MONTREAL,40,10.0,0.2847177143,120.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,1,Business/Work/Job Interview,5,45-54,2,Female,0,1,Yes,3,In another region,1,English,18,2017-05-13,133
